"* Required Fields","* Champs obligatoires"
"Add","Ajouter"
"Address","Adresse"
"Already Phantom client ?","Déjà client Phantom ?"
"Back to Devialet.com", "Retour sur Devialet.com"
"Back to the homepage","Retour sur la page d'accueil"
"Back","Retour"
"Choose accessories","Sélectionnez les accessoires"
"Choose the products","Sélectionnez les modèles"
"City","Ville"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%s"" onclick=""this.target=\'_blank\'"">ici</a> pour imprimer une copie de votre confirmation de commande."
"Contact Information","Information de contact"
"Country","Pays"
"Date of Purchase","Date d'achat"
"Delivery from ", "Livraison à partir du "
"Don't have an invitation code? <br/> Phantom will send you an e-mail.","Vous n'avez pas de code?<br/>Phantom vous l'enverra par e-mail."
"Download","Télécharger"
"Edit","Modifier"
"Email","Email"
"Enter your code","Entrez votre code"
"Enter your email address","Entrez votre email"
"Enter your password", "Entrez votre mot de passe"
"Find here all the applications that will allow you to enjoy a full experience of your Devialet devices.","Retrouvez ici toutes les applications qui vous permettront de bénéficier d’une expérience complète de vos appareils Devialet."
"First Name","Prénom"
"First Phantoms will start shipping January 20th, 2015. EU only.","Les prochains Phantoms seront livrés à partir du 30 mars 2015 en Union Européenne seulement."
"Free delivery","Livraison offerte"
"General conditions of sale","Conditions générales de vente"
"Invitation code","Code d'invitation"
"Last Name","Nom"
"Login","Connexion"
"No invitation code? ask yours","Pas de code d'invitation ? Demandez le vôtre"
"No item has been selected","Aucun article n'a été sélectionné"
"No phantom account ?","Pas de compte Phantom ?"
"No products were recorded.","Aucun produit n'a été enregistré."
"Order Review","Votre commande"
"Order now","Commander"
"Order n°","Commande n°"
"Order","Commander"
"Pay","Payer"
"Phone number","Numéro de téléphone"
"Place order now","Payer maintenant"
"Place Order now","Payer maintenant"
"Play your music and manage your Devialet from your smartphone and tablet.","Jouez votre musique et contrôlez votre Devialet depuis votre smartphone et tablette."
"Preview","Prévisualisation"
"Product Information","Information du produit"
"Product Name","Nom du produit"
"Purchase code","Code d'achat"
"Purchased from","Lieu de l'achat"
"Purchased on ","Acheté le "
"Register Products","Enregistrer un produit"
"Register a product","Enregistrer un produit"
"Secure payment","Paiement sécurisé"
"See invoice","Voir la facture"
"Select your country","Sélectionnez votre pays"
"Send","Envoyer"
"Serial Number","Numéro de série"
"Shipping in %s days et %s hours","Livraison dans %s jours et %s heures"
"Shipping in %s days","Livraison à partir de %s jours"
"Shipping starts ","Livraison à partir du "
"State/Province/Country","Etat/Province/Pays"
"Submit","Envoyer"
"Thank you for you request. PHANTOM will send you an invitation code via email as soon as possible.","Merci de votre demande. PHANTOM vous enverra un code d’invitation par email dès que possible."
"This purchase code <strong>%s</strong> is not valid!","Votre code d'achat <strong>%s</strong> n'est pas valable ou est déjà utilisé !"
"Title","Titre"
"To cope with demand, PHANTOM is currently available by invitation only. <br/> Leave us your email and we will send you a personal <br/> code to be among the first to own PHANTOM","Pour faire face à la demande, PHANTOM est pour l'instant disponible uniquement sur invitation.<br/> Laissez-nous votre email, et nous vous enverrons un code personnel<br/>pour être parmi les premiers à posséder PHANTOM"
"To purchase PHANTOM, <br/> enter your invitation code","Pour acheter un PHANTOM,<br/> entrez votre code d'invitation"
"User Manual","Manuel d'utilisation"
"View registrations","Récapitulatif des informations"
"You do not have a code? <br/> It sends you an e-mail.","Vous n'avez pas de code?<br/>On vous l'envoie par e-mail."
"You have an invitation code ?","Vous avez un code d'invitation ?"
"Your Registered Info","Les informations enregistrées"
"Your account", "Votre compte"
"Your order","Votre commande"
"Your registered Info","Les informations enregistrées"
"coming soon", "Bientôt disponible !"
"login","connexion"
"Espace Client", "Espace client"
"Mes Informations", "Mes informations"
"Mes informations", "Mes informations"
"Mes Commandes", "Mes commandes"
"Mes commandes", "Mes commandes"
"Déconnexion", "Déconnexion"
"Contactez Devialet", "Contactez Devialet"
"Thank you for your purchase!","Merci pour votre achat !"
"TO FACE HIGH DEMAND, PHANTOM IS CURRENTLY AVAILABLE BY INVITATION ONLY","ACTUELLEMENT, PHANTOM EST UNIQUEMENT DISPONIBLE SUR INVITATION"
"Leave us your email and we will send you a personal code to be among the firsts to own Phantom","Laissez nous votre email, vous recevrez un code personnel pour posséder Phantom"
"Buy from","Achetez dès"
"Ultra-powerful WIFI sharing center","Centre ultra puissant de partage wifi"
"Branch Phantom’ intelligent base","Socle intelligent de phantom"
